     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
  35 ,"[['1', '9826.3']]"                                                                                             ,"[['0.6', '10'], ['0.1638', '12210'], ['0.11', '140'], ['0.1008', '19841.2'], ['0.1', '116230']]"                   ,1732705208030 ,11:00:08.0671
  36 ,"[['1', '9826.3']]"                                                                                             ,"[['0.6', '10'], ['0.1638', '12210'], ['0.11', '140'], ['0.1008', '19841.2'], ['0.1', '116230']]"                   ,1732705208151 ,11:00:08.1887
  37 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.1638', '12210'], ['0.11', '140'], ['0.1008', '19841.2'], ['0.1', '116230']]"                   ,1732705208256 ,11:00:08.2930
  38 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.1638', '12210'], ['0.11', '140'], ['0.1008', '19841.2'], ['0.1', '116230']]"                   ,1732705208367 ,11:00:08.4041
  39 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.1638', '12210'], ['0.11', '140'], ['0.10083', '370.3'], ['0.1008', '19841.2']]"                ,1732705208902 ,11:00:08.9392
  40 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.32125', '125'], ['0.1638', '12210'], ['0.11', '140'], ['0.10083', '370.3']]"                   ,1732705209008 ,11:00:09.0448
  41 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.32125', '125'], ['0.1638', '12210'], ['0.11', '140'], ['0.10083', '370.3']]"                   ,1732705209108 ,11:00:09.1453
  42 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.32125', '125'], ['0.1638', '12210'], ['0.117', '427.3'], ['0.11', '140']]"                     ,1732705209215 ,11:00:09.2513
  43 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.32125', '125'], ['0.1638', '12210'], ['0.117', '427.3'], ['0.114', '438.5']]"                  ,1732705209317 ,11:00:09.3541
  44 ,"[['1', '9560.8']]"                                                                                             ,"[['0.6', '10'], ['0.32125', '125'], ['0.117', '427.3'], ['0.114', '438.5'], ['0.11001', '557']]"                   ,1732705209422 ,11:00:09.4585
  45 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60001', '125'], ['0.6', '10'], ['0.16383', '227.9'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705209524 ,11:00:09.5601
  46 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60001', '187.5'], ['0.6', '10'], ['0.16383', '227.9'], ['0.15', '333.3'], ['0.117', '427.3']]"                ,1732705209624 ,11:00:09.6608
  47 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60001', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.16383', '227.9'], ['0.15', '333.3']]"                ,1732705209835 ,11:00:09.8717
  48 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60001', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705209947 ,11:00:09.9837
  49 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60002', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210044 ,11:00:10.0814
  50 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60002', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210150 ,11:00:10.1862
  51 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60002', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210272 ,11:00:10.3091
  52 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60002', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210609 ,11:00:10.6460
  53 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60003', '125'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                    ,1732705210719 ,11:00:10.7562
  54 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60003', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210820 ,11:00:10.8576
  55 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60003', '187.5'], ['0.6', '10'], ['0.171', '292.3'], ['0.15', '333.3'], ['0.117', '427.3']]"                  ,1732705210924 ,11:00:10.9608
  56 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60003', '187.5'], ['0.6', '10'], ['0.1725', '5797'], ['0.171', '292.3'], ['0.15', '333.3']]"                  ,1732705211028 ,11:00:11.0654
  57 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60003', '187.5'], ['0.6', '10'], ['0.1725', '5797'], ['0.11001', '557'], ['0.11', '140']]"                    ,1732705211132 ,11:00:11.1686
  58 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60004', '187.5'], ['0.6', '111.5'], ['0.1725', '5797'], ['0.11001', '557'], ['0.11', '140']]"                 ,1732705211235 ,11:00:11.2722
  59 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60004', '187.5'], ['0.6', '111.5'], ['0.1725', '5797'], ['0.11001', '557'], ['0.11', '140']]"                 ,1732705211338 ,11:00:11.3751
  60 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60004', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.11001', '557'], ['0.11', '140']]"                  ,1732705211554 ,11:00:11.5909
  61 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60004', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.114', '438.5'], ['0.11001', '557']]"               ,1732705211764 ,11:00:11.8014
  62 ,"[['1', '9560.8']]"                                                                                             ,"[['0.60005', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.114', '438.5'], ['0.11001', '557']]"               ,1732705211864 ,11:00:11.9013
  63 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60005', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.114', '438.5']]"               ,1732705211962 ,11:00:11.9993
  64 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60005', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.114', '438.5']]"               ,1732705212074 ,11:00:12.1106
  65 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60005', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.114', '438.5']]"               ,1732705212178 ,11:00:12.2175
  66 ,"[['1', '9560.8']]"                                                                                             ,"[['0.9888', '10.1'], ['0.60005', '187.5'], ['0.6', '111.5'], ['0.12', '416.6'], ['0.115', '8695']]"                ,1732705212394 ,11:00:12.4311
